,numeroMuseo,numeroCampo,familia,genero,especie,localidad,latitud,longitud,fechaInicioColeccion,colector,altitudMax,altitudMin,year,5years,decade,institutionCode,scientificName,catalogNumber,Locacion,Elevation,geometry,elevation,elev_category
18,QCA246439,10015,Clethraceae,Clethra,revoluta,"Reserva Cerro Oscuro, desde la casa de la estación por el sendero hacia la cuchilla.",0.904722222,-78.19222222,2016-08-30T00:00:00,A.J. Pérez,1250.0,1600.0,2016.0,2015.0,2010.0,QCA,Clethra revoluta,,,,POINT (-78.19222222 0.904722222),[1573.],1501-2000
19,QCA31848,3497,Clethraceae,Clethra,revoluta,Prov.Azuay.Guaillo,-2.68333,-79.4167,1994-10-30T00:00:00,X. Cornejo,2300.0,,1994.0,1990.0,1990.0,QCA,Clethra revoluta,,,,POINT (-79.4167 -2.68333),[1757.],1501-2000
20,QCA31849,1235,Clethraceae,Clethra,revoluta,Carretero Patate  El Triunfo.,-1.3,-78.4333,1989-03-04T00:00:00,A. Freire-Fierro,3000.0,,1989.0,1985.0,1980.0,QCA,Clethra revoluta,,,,POINT (-78.4333 -1.3),[3176.],3000-3500
21,QCA31850,482,Clethraceae,Clethra,revoluta,"Parque Nacional Podocarpus, entrando por Loja, desde el Centro de Información de Cajanuma, subiendo por el camino de las lagunas del compadre, después de la segunda quebtada.",-4.08333,-79.2,1995-10-03T00:00:00,A. Garmendia,2810.0,,1995.0,1995.0,1990.0,QCA,Clethra revoluta,,,,POINT (-79.2 -4.08333),[2439.],2001-2500
22,QCA31851,130,Clethraceae,Clethra,revoluta,La Fragancia,-4.03333,-78.9833,2006-03-01T00:00:00,A. Gerique,1700.0,,2006.0,2005.0,2000.0,QCA,Clethra revoluta,,,,POINT (-78.9833 -4.03333),[1433.],1001-1500
23,QCA31852,22084,Clethraceae,Clethra,revoluta,"Loja - Zamora road, W of the pass.",-3.98333,-79.2667,1985-02-14T00:00:00,G. Harling,2700.0,,1985.0,1985.0,1980.0,QCA,Clethra revoluta,,,,POINT (-79.2667 -3.98333),[2699.],2500-3000
24,QCA31853,23719,Clethraceae,Clethra,revoluta,"Nudo de Sabanilla, pass of road Yangana Valladolid.",-4.5,-79.1667,1985-04-05T00:00:00,G. Harling,2800.0,2900.0,1985.0,1985.0,1980.0,QCA,Clethra revoluta,,,,POINT (-79.1667 -4.5),[2541.],2500-3000
25,QCA31854,8266,Clethraceae,Clethra,revoluta,"Road in construction Sigsig, Gualaquiza. Campamento Molón 1 km below Molón.",-3.13333,-78.8333,1968-04-11T00:00:00,G. Harling,2800.0,3000.0,1968.0,1965.0,1960.0,QCA,Clethra revoluta,,,,POINT (-78.8333 -3.13333),[3211.],3000-3500
26,QCA31855,10687,Clethraceae,Clethra,revoluta,"Carretera Loja  Saraguro, colecciones entre La Loma de El Oro  Fierro Urcu.",-3.61667,-79.25,1988-12-30T00:00:00,J. Jaramillo,3300.0,,1988.0,1985.0,1980.0,QCA,Clethra revoluta,,,,POINT (-79.25 -3.61667),[2664.],2500-3000
27,QCA31856,8777,Clethraceae,Clethra,revoluta,Parque Nacional Podocarpus.,-4.26667,-79.0833,,J. Jaramillo,2500.0,2910.0,,,,QCA,Clethra revoluta,,,,POINT (-79.0833 -4.26667),[3260.],3000-3500
28,QCA31857,1164,Clethraceae,Clethra,revoluta,"Cerro Santa Bárbara. 4.4 km NE Chuquirimba, at Aguarongo.",-3.82694,-79.3369,1994-12-02T00:00:00,P.M. Jørgensen,3060.0,,1994.0,1990.0,1990.0,QCA,Clethra revoluta,,,,POINT (-79.3369 -3.82694),[2914.],2500-3000
29,QCA31858,444,Clethraceae,Clethra,revoluta,"Loja, Saraguro. Km 18. Pastures and partially cut montane forest.",-3.90222,-79.2483,1994-04-21T00:00:00,P.M. Jørgensen,2610.0,,1994.0,1990.0,1990.0,QCA,Clethra revoluta,,,,POINT (-79.2483 -3.90222),[2405.],2001-2500
30,QCA31859,92101,Clethraceae,Clethra,revoluta,"Las Palmas, Cerro El Tambo, just south of Cerro Villonaco. ",-4.06667,-79.2333,1990-07-23T00:00:00,P.M. Jørgensen,2570.0,3020.0,1990.0,1990.0,1990.0,QCA,Clethra revoluta,,,,POINT (-79.2333 -4.06667),[2745.],2500-3000
